2024-04-04 00:11:19.651612 - write_json(([],), {}) = None
2024-04-04 00:12:43.152752 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.1805 Safari/537.36'}
2024-04-04 00:12:44.143904 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809 Safari/537.36'}
2024-04-04 00:12:45.059948 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36'}
2024-04-04 00:12:46.053788 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.62 Safari/537.36'}
2024-04-04 00:12:47.001173 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36'}
2024-04-04 00:12:48.087240 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36'}
2024-04-04 00:12:49.200235 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36'}
2024-04-04 00:12:50.256101 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36'}
2024-04-04 00:12:51.329023 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36'}
2024-04-04 00:12:52.342508 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36'}
2024-04-04 00:12:53.445101 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626 Safari/537.36'}
2024-04-04 00:12:54.441650 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36'}
2024-04-04 00:12:55.407623 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36'}
2024-04-04 00:12:56.525064 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.92 Safari/537.36'}
2024-04-04 00:12:57.797468 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36'}
2024-04-04 00:12:59.079684 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36'}
2024-04-04 00:13:00.091915 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.116 Safari/537.36'}
2024-04-04 00:13:01.361253 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36'}
2024-04-04 00:13:02.307820 - gen_headers((), {}) = {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Safari/537.36'}
2024-04-04 00:13:03.272734 - write_json(([{'position': 'Python developer (Django)', 'link': 'https://spb.hh.ru/vacancy/94706993?query=python&hhtmFrom=vacancy_search_list', 'company': 'Python developer (Django)', 'city': 'Москва', 'salary': 'от 3 500 $', 'description': 'Мы инновационный Алгоритмический хедж-фонд, ищем Python-разработчика в нашу дружную команду высококлассных специалистов! Основное направление деятельности компании - Разработка алгоритмических торговых систем Технологический стек: Python 3.9+, Django (+ DRF), PostgreSQL, Redis, RabbitMQ (Queue, Streams), multiprocessing, threading, asyncio, websockets, Celery, Docker, docker-compose, ansible, docker-swarm, gitlab CI/CD, Prometheus, Grafana Методология, использованная в проекте - Scrum Основные аспекты рабочего процесса на этой должности - Jira+Scrum Мы гарантируем будущему коллеге: Заработная плата от 3500$ Формат работы: Удаленный; Перспективные возможности для профессионального и карьерного роста: внутренние и внешние конференции, форумы, курсы повышения квалификации; Интересные и высокотехнологичные проекты и задачи, позволяющие повышать свой профессиональный уровень; Наставничество и поддержку при адаптации; Работу в дружном коллективе настоящих профи своего дела, построенном на принципах взаимоуважения и взаимовыручки. Тебе предстоит заниматься: Разработка новых компонентов платформы; Написание тестов и улучшение качества кода; Исправление ошибок, рефакторинг; Работа с проектной документацией. Must have для нашего кандидата: Python, Django, PostgreSQL, многопроцессорность, многопоточность, вебсокеты, Docker, docker-compose Будет плюсом: Asyncio и асинхронные фреймворки, Redis, RabbitMQ, Celery, Sentry, Prometheus, Grafana Если Вы увидели себя в этой вакансии, смелее направляйте резюме, с удовольствием расскажем подробнее об открытой позиции! :)'}],), {}) = None
2024-04-04 00:12:20.164002 - getting_required_data((), {}) = None
